icmp_seq,time,mean_period5,mean_period10,mean_period20,StdDev_period5,StdDev_period10,StdDev_period20
232,56.8,62.3,62.69,61.605,11.7720006796,9.53396851031,7.725860538
233,101,71.02,67.11,63.82,20.2966007006,15.113162034,11.6163949476
234,53.3,70.04,66.86,63.415,21.1698606514,15.3400130378,11.8441757839
235,52.9,69.46,65.54,62.995,21.6908506057,15.9677591832,12.0699049401
236,59.2,64.64,63.9,63.06,20.4910468254,15.658934262,12.0444964501
237,56.4,64.56,63.43,62.26,20.5300511446,15.8219994522,11.9222216227
238,56.6,55.68,63.35,61.665,2.60518713339,15.8578581992,11.891318151
239,63.4,57.7,63.87,61.945,3.89486841883,15.7551437809,11.8614135574
240,59.7,59.06,64.26,62.21,2.84569850828,15.580486371,11.7425855666
241,68.2,60.86,62.75,62.725,4.99279480852,14.2008020118,11.769446394
242,56.2,60.82,62.69,62.69,5.03805518032,14.2299722808,11.7887055671
243,54.5,60.4,58.04,62.575,5.54030685071,4.77986517708,11.8601888243
244,57.3,59.18,58.44,62.65,5.38395765214,4.49819716973,11.8197648921
245,54.9,58.22,58.64,62.09,5.6874423074,4.26281075765,11.912660227
246,56.7,55.92,58.39,61.145,1.1882760622,4.29947025161,11.5279739855
247,57.8,56.24,58.53,60.98,1.46560567684,4.24998039211,11.55224289
248,148,74.94,67.67,65.51,40.8564927521,28.5352043779,22.5772102141
249,59.7,75.42,67.3,65.585,40.6107990564,28.6205831139,22.5541284586
250,58.0,76.04,67.13,65.695,40.2411853702,28.6757369372,22.5092139029
251,150,94.7,75.31,69.03,49.579431219,38.8699383986,29.2012815148
252,56.9,94.52,75.38,69.035,49.7482361496,38.8323118607,29.1990856922
253,55.8,76.08,75.51,66.775,41.3476359663,38.7567470829,28.3311224628
254,66.1,77.36,76.39,67.415,40.809349419,38.3955567453,28.1547280315
255,68.7,79.5,77.77,68.205,39.8086045975,37.7804196789,27.9469134912
256,58.0,61.1,77.9,68.145,5.87579781817,37.7020188083,27.9685438907
257,57.6,61.24,77.88,68.205,5.75786418735,37.7139172661,27.9432973792
258,56.4,61.36,68.72,68.195,5.62076507248,28.8801662045,27.9477044533
259,60.1,60.16,68.76,68.03,4.95711609709,28.8665588913,27.9872170069
260,57.8,57.98,68.74,67.935,1.33865604245,28.8749102933,28.0201858629
261,57.2,57.82,59.46,67.385,1.3827508814,4.37980212643,28.1224816416
262,57.8,57.86,59.55,67.465,1.37767920794,4.33031946474,28.0912474663
263,62.5,59.08,60.22,67.865,2.21065601123,4.20206298541,27.9535380493
264,66.8,60.42,60.29,68.34,4.15716249382,4.31520567297,27.8450675969
265,55.5,59.96,58.97,68.37,4.6209306422,3.3727832226,27.8301445804
266,85.0,65.52,61.67,69.785,11.7284696359,8.85752034526,27.924847924
267,64.1,66.78,62.32,70.1,11.0080425145,8.7636623496,27.8178662771
268,60.0,66.28,62.68,65.7,11.303848902,8.56514902251,20.962673594
269,71.2,67.16,63.79,66.275,11.5235845118,8.90610901448,20.9471484054
270,52.8,66.62,63.29,66.015,12.2471221109,9.40607959425,21.0870694977
271,57.4,61.1,63.31,61.385,6.97853852895,9.39189366777,7.40065964343
272,59.1,60.1,63.44,61.495,6.79705818719,9.31584075051,7.34664083639
273,58.7,59.84,63.06,61.64,6.82663899734,9.43518238651,7.25638738593
274,62.7,58.14,62.65,61.47,3.57393340733,9.34323879129,7.18588528773
275,64.5,60.48,63.55,61.26,2.98529730513,9.0053379232,7.0229998089
276,62.8,61.56,61.33,61.5,2.53535007445,4.95581588753,6.98765829309
277,56.8,61.1,60.6,61.46,3.21169737055,5.03940031706,7.01340070677
278,57.2,60.8,60.32,61.5,3.54471437495,5.15294953293,6.98524761269
279,58.6,59.98,59.06,61.425,3.46871734219,3.4590300503,7.00908245365
280,67.3,60.54,60.51,61.9,4.46407885235,3.58033207647,7.07210978719
281,64.0,60.78,61.17,62.24,4.64456671822,3.55154113653,6.99732279631
282,56.6,60.74,60.92,62.18,4.68806996535,3.79321030849,7.04239791698
283,53.9,60.08,60.44,61.75,5.47695170693,4.36582689126,7.2803629175
284,56.0,59.56,59.77,61.21,5.7682753055,4.49272251041,7.28660631426
285,56.1,57.32,58.93,61.24,3.87517741529,4.29083001554,7.26305720754
286,58.4,56.2,58.49,59.91,1.60779351908,4.06979387957,4.64779517621
287,59.8,56.84,58.79,59.695,2.29630137395,4.04185051128,4.54202308275
288,71.5,60.36,60.22,60.27,6.43062982918,5.63319526458,5.25468212269
289,61.7,61.5,60.53,59.795,5.95189045598,5.61942068979,4.60371417559
290,59.6,62.2,59.76,60.135,5.33151010503,5.09143070921,4.3010739173
291,69.2,64.36,60.28,60.725,5.58864921068,5.79018326327,4.69724163178
292,54.6,63.32,60.08,60.5,6.96397874781,5.96336966637,4.88326896551
293,54.9,60.0,60.18,60.31,5.9762028078,5.85563356473,5.02874892886
294,56.2,58.9,60.2,59.985,6.09015599143,5.84009132349,5.07597799755
295,56.6,58.3,60.25,59.59,6.15142259969,5.80311219184,5.01313012839
296,57.1,55.88,60.12,59.305,1.08489630841,5.86340818599,4.98296836075
297,55.7,56.1,59.71,59.25,0.845576726264,6.02927119237,5.01802015897
298,66.6,58.44,59.22,59.72,4.59053373803,5.09068866767,5.25072426082
299,58.9,58.98,58.94,59.735,4.41667295597,5.01557573963,5.24778399347
300,54.5,58.56,58.43,59.095,4.78414046617,5.19701837595,5.05355268468
301,75.2,62.18,59.03,59.655,8.67162037914,6.70589293085,6.13132380314
302,61.6,63.36,59.73,59.905,7.93996221653,6.55575235109,6.10206824299
303,59.7,61.98,60.21,60.195,7.83498564134,6.33481561601,5.93725747427
304,58.8,61.96,60.47,60.335,7.84493467149,6.20395035441,5.86571438643
305,59.6,62.98,60.77,60.51,6.90811117455,6.06704211292,5.78436185808
306,55.8,59.1,60.64,60.38,2.11187120819,6.16751345537,5.86296134982
307,59.7,58.72,61.04,60.375,1.67541039748,5.9369277502,5.8635246271
308,56.4,58.06,60.02,59.62,1.83521115951,5.74877764785,5.30080430838
