comp_code,stock_code
4895,THEMISMED
4907,CCL
4916,SUVEN
4926,ERAINFRA
4936,KOTHARIPRO
4939,LAOPALA
4962,GENUSPOWER
4974,KELLTONTEC
4987,HDFCBANK
4992,NRBBEARING
4993,DBSTOCKBRO
4994,PETRONENGG
5014,UGARSUGAR
5020,GOODLUCK
5023,MAGMA
5031,SHILPAMED
5056,RELAXO
5068,NOESISIND
5076,GEINDSYS
5110,STERTOOLS
5114,NEPCPAPER
5120,ANGIND
5128,RAJRAYON
5129,AFTEK
5135,ALPSINDUS
5155,PARACABLES
5178,NILAINFRA
5184,NETVISTAIT
5185,CUPID
5200,LAKSHMIEFL
5247,BHAGERIA
5266,REMSONSIND
5288,BALAMINES
5312,GSLNOVA
5324,KWALITY
5369,OMMETALS
5374,ECEIND
5375,SNOWCEMIND
5400,TCS
5418,ICICIBANK
5433,IDBI
5445,CORPBANK
5452,OIL
5455,POWERGRID
5456,BANKBARODA
5471,CANBK
5475,UCOBANK
5481,UNITEDBNK
5492,COX&KINGS
5493,UNIONBANK
5496,MARUTI
5498,SHRIPISTON
5516,SHAKTIGAS
5521,SBT
5523,DHANBANK
5531,INDUSINDBK
5533,DENABANK
5539,CENTRALBK
5553,ALANKIT
5554,AXISBANK
5571,SPHEREGSL
5586,JETAIRWAYS
5600,SURANACORP
5607,MAHABANK
5611,ELDERPHARM
5638,SYNDIBANK
5654,BANKINDIA
5656,HCLTECH
5675,ALBK
5704,MADRASFERT
5745,ROSSELLIND
5772,JKPAPER
5807,IMFA
5814,PSB
5834,PILANIINVS
5859,ANDHRABANK
5860,KTKBANK
5895,CRANESSOFT
5926,ICSA
5947,MYSOREBANK
5951,ALICON
5954,IVRCLINFRA
5955,IOB
5961,SBBJ
5982,RBLBANK
5991,KRBL
6025,VIJAYABANK
6045,SUPRAJIT
6061,INDIANB
6064,GEOJITBNPP
6068,ONGC
6070,ARMANFIN
6083,MANAPPURAM
6103,BEARDSELL
6113,SABTN
6127,VIKASECO
6159,NUCLEUS
6263,SOUTHBANK
6279,COUNCODOS
6285,LFIC
6367,ZYDUSWELL
6418,PHOENIXLTD
6423,EMAMILTD
6454,BYKE
6463,GEMINI
6481,JMA
6485,NBIFIN
6548,SHRIRAMCIT
6570,ALMONDZ
6580,SHAKTIPUMP
6589,SIGNET
6599,JOCIL
6600,LAMBODHARA
6614,WELLWININD
6649,SWELECTES
6661,AICHAMP
6674,VITALCOMM
6730,MOHITIND
6733,KGL
6838,SUNTECK
6856,MAARSOFTW
6867,BILPOWER
6890,DLF
6902,JINDWORLD
6975,VIJIFIN
6986,SUNDARAM
7015,CUB
7045,KANANIIND
7065,SHARDAMOTR
7091,SPECTACLE
7102,RESPONIND
7129,SEINV
7133,PANORAMUNI
7255,KHANDSE
7310,AHLUCONT
7311,J&KBANK
7383,PRAENG
7387,PIONDIST
7400,AGARIND
7436,CYBERTECH
7469,COREEDUTEC
7484,LCCINFOTEC
7550,VATSMUSC
7594,BSELINFRA
7620,REIAGROLTD
7629,KSERASERA
7816,MUKANDENGG
7817,AMBICAAGAR
7820,KCPSUGIND
7855,PNB
7902,PARAL
7927,INDSWFTLAB
7947,WELCORP
7971,SIIL
8008,SHREERAMA
8014,COMPUSOFT
8019,ZENITHINFO
8020,KOPDRUGS
8021,WOCKPHARMA
8022,TIPSINDLTD
8029,TVSMOTOR
8032,UMESLTD
8034,MEGASOFT
8036,MCDOWELL-N
8037,BFUTILITIE
8039,APTECHT
8040,AURIONPRO
12001,NTPC
12002,IOC
12019,COALINDIA
12029,ENGINERSIN
12059,NMDC
12061,NFL
12068,PFC
12076,SJVN
12111,HEXAWARE
12122,TNPL
12208,MADHUCON
12220,PUNJLLOYD
12232,GPPL
12295,MINDAIND
12317,DUNCANSLTD
12334,APLAPOLLO
12350,GAIL
12371,ZICOM
12382,LINCPEN
12420,PANACEABIO
12476,ARIES
12490,SONATSOFTW
12521,PAGEIND
12546,KIOCL
12579,INDOCO
12580,SOFTTECHGR
12584,NHPC
12585,MARICO
